EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
498271,DCAS Prep/Shoot/Wrap Permit,07/18/2019 09:00:00 PM,07/19/2019 01:00:00 AM,07/16/2019 02:11:56 PM,"Mayor's Office of Film, Theatre & Broadcasting","CHAMBERS STREET between CENTRE STREET and ELK STREET,  BROADWAY between DUANE STREET and CHAMBERS STREET,  READE STREET between BROADWAY and CHURCH STREET,  CHURCH STREET between DUANE STREET and CHAMBERS STREET,  DUANE STREET between BROADWAY and CHURCH STREET,  CENTRE STREET between HOGAN PLACE and WHITE STREET,  CENTRE STREET between WHITE STREET and WALKER STREET,  WORTH STREET between CENTRE STREET and LAFAYETTE STREET",Manhattan,1,"1, 5",Television,Episodic series,United States of America,"10007, 10013"
498270,Shooting Permit,07/18/2019 07:00:00 PM,07/19/2019 01:00:00 AM,07/16/2019 02:11:54 PM,"Mayor's Office of Film, Theatre & Broadcasting","BROADWAY between WEST   47 STREET and WEST   48 STREET,  7 AVENUE between WEST   48 STREET and WEST   49 STREET,  7 AVENUE between WEST   48 STREET and WEST   47 STREET,  WEST   47 STREET between BROADWAY and 8 AVENUE,  WEST   48 STREET between BROADWAY and 8 AVENUE,  WEST   48 STREET between BROADWAY and 8 AVENUE",Manhattan,5,18,Film,Feature,United States of America,"10019, 10036"
498259,Shooting Permit,07/19/2019 12:00:00 AM,07/19/2019 11:00:00 PM,07/16/2019 01:55:21 PM,"Mayor's Office of Film, Theatre & Broadcasting","KISSEL AVENUE between SNUG HARBOR ROAD and LINDEN STREET,  SNUG HARBOR ROAD between KISSEL AVENUE and COTTAGE ROW,  WEST END AVENUE between WEST   83 STREET and WEST   84 STREET,  WEST   83 STREET between WEST END AVENUE and BROADWAY,  BROADWAY between WEST   82 STREET and WEST   84 STREET,  WEST   83 STREET between BROADWAY and AMSTERDAM AVENUE",Staten Island,"1, 7","120, 20",Television,Episodic series,United States of America,"10024, 10310"
498248,Shooting Permit,07/19/2019 06:00:00 AM,07/19/2019 11:00:00 PM,07/16/2019 01:13:50 PM,"Mayor's Office of Film, Theatre & Broadcasting","46 STREET between QUEENS MIDTOWN EXPRESSWAY and 55 AVENUE,  54th Ave between 44 STREET and 48th STREET,  54 ROAD between 44 STREET and 48 STREET,  50 STREET between 54 AVENUE and 55 AVENUE",Queens,2,108,Television,Episodic series,United States of America,11378
498236,Rigging Permit,07/19/2019 06:00:00 AM,07/19/2019 09:00:00 PM,07/16/2019 12:18:47 PM,"Mayor's Office of Film, Theatre & Broadcasting",EDGECOMBE AVENUE between WEST  150 STREET and WEST  155 STREET,Manhattan,"10, 9",30,Film,Feature,United States of America,10032
498234,Rigging Permit,07/18/2019 06:00:00 AM,07/18/2019 09:00:00 PM,07/16/2019 12:18:10 PM,"Mayor's Office of Film, Theatre & Broadcasting",EDGECOMBE AVENUE between WEST  150 STREET and WEST  155 STREET,Manhattan,"10, 9",30,Film,Feature,United States of America,10032
498210,Shooting Permit,07/17/2019 11:00:00 AM,07/18/2019 01:30:00 AM,07/16/2019 11:41:48 AM,"Mayor's Office of Film, Theatre & Broadcasting","JAVA STREET between WEST STREET and DEAD END,  KENT STREET between WEST STREET and DEAD END,  GREENPOINT AVENUE between WEST STREET and DEAD END",Brooklyn,1,94,Television,Cable-episodic,United States of America,11222
498204,Shooting Permit,07/19/2019 08:00:00 AM,07/19/2019 10:00:00 PM,07/16/2019 11:29:56 AM,"Mayor's Office of Film, Theatre & Broadcasting","45 ROAD between 21 STREET and 23 STREET,  21 STREET between 45 AVENUE and 45 ROAD,  21 STREET between 45 AVENUE and 46 AVENUE",Queens,2,108,Television,Cable-episodic,United States of America,11101
498201,Shooting Permit,07/18/2019 07:00:00 AM,07/18/2019 10:00:00 PM,07/16/2019 11:18:24 AM,"Mayor's Office of Film, Theatre & Broadcasting","45 ROAD between 21 STREET and 23 STREET,  21 STREET between 45 AVENUE and 45 ROAD,  21 STREET between 45 ROAD and 46 AVENUE",Queens,2,108,Television,Cable-episodic,United States of America,11101
498198,Shooting Permit,07/18/2019 04:00:00 PM,07/19/2019 06:00:00 AM,07/16/2019 11:15:32 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   16 STREET between NEPTUNE AVENUE and MERMAID AVENUE,  WEST   16 STREET between MERMAID AVENUE and SURF AVENUE,  MERMAID AVENUE between WEST   15 STREET and WEST   17 STREET,  WEST   15 STREET between SURF AVENUE and MERMAID AVENUE,  WEST   15 STREET between BOWERY and BOARDWALK,  WEST   15 STREET between BOWERY and SURF AVENUE,  SURF AVENUE between STILLWELL AVENUE and WEST   15 STREET",Brooklyn,13,60,Television,Episodic series,United States of America,11224
498175,Shooting Permit,07/19/2019 10:00:00 AM,07/20/2019 01:00:00 AM,07/16/2019 10:30:28 AM,"Mayor's Office of Film, Theatre & Broadcasting","26 STREET between 23 AVENUE and 24 AVENUE,  26 STREET between 24 AVENUE and HOYT AVENUE,  24 AVENUE between CRESCENT STREET and 26 STREET,  24 AVENUE between 26 STREET and 27 STREET,  CRESCENT STREET between 23 AVENUE and 24 AVENUE,  CRESCENT STREET between 24 AVENUE and HOYT AVENUE,  27 STREET between 24 AVENUE and 23 AVENUE,  27 STREET between 24 AVENUE and HOYT AVENUE,  28 STREET between 24 AVENUE and 23 AVENUE",Queens,1,114,Television,Episodic series,United States of America,"11102, 11105"
498172,Shooting Permit,07/17/2019 08:00:00 AM,07/17/2019 10:00:00 PM,07/16/2019 10:22:33 AM,"Mayor's Office of Film, Theatre & Broadcasting","HANCOCK STREET between MARCY AVENUE and TOMPKINS AVENUE,  JEFFERSON AVENUE between MARCY AVENUE and NOSTRAND AVENUE",Brooklyn,3,79,Television,Episodic series,United States of America,11216
498167,Shooting Permit,07/18/2019 07:00:00 AM,07/18/2019 10:00:00 PM,07/16/2019 10:00:12 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   66 STREET between MADISON AVENUE and PARK AVENUE,  PARK AVENUE between EAST   65 STREET and EAST   68 STREET,  EAST   67 STREET between PARK AVENUE and MADISON AVENUE,  EAST   68 STREET between MADISON AVENUE and PARK AVENUE,  EAST   68 STREET between PARK AVENUE and LEXINGTON AVENUE,  PARK AVENUE between EAST   68 STREET and EAST   70 STREET",Manhattan,8,19,Television,Episodic series,United States of America,"10021, 10065"
498165,Shooting Permit,07/18/2019 04:00:00 PM,07/18/2019 11:00:00 PM,07/16/2019 09:51:35 AM,"Mayor's Office of Film, Theatre & Broadcasting","8 AVENUE between WEST   38 STREET and WEST   39 STREET,  WEST   39 STREET between 8 AVENUE and 7 AVENUE,  WEST   37 STREET between 7 AVENUE and 8 AVENUE",Manhattan,"4, 5",14,Still Photography,Not Applicable,United Kingdom,10018
498157,Shooting Permit,07/18/2019 01:00:00 PM,07/19/2019 05:00:00 AM,07/16/2019 09:25:55 AM,"Mayor's Office of Film, Theatre & Broadcasting","GLEN ST between SOUTH AV and WEST SHORE EXPRESSWAY,  EDGEWATER STREET between CLIFTON AVENUE and HYLAN BOULEVARD,  CLIFTON AVENUE between BAY STREET and EDGEWATER STREET,  SYLVA LN between EDGEWATER STREET and SYLVA LN,  BAY STREET between CHURCH LANE and CLIFTON AVENUE,  BAY STREET between CLIFTON AVENUE and HYLAN BOULEVARD",Staten Island,"1, 2","120, 121",Film,Feature,United States of America,"10305, 10314"
498153,Shooting Permit,07/18/2019 09:30:00 AM,07/18/2019 11:30:00 PM,07/16/2019 09:22:10 AM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between COVERT STREET and ELDERT STREET",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
498152,Shooting Permit,07/17/2019 09:30:00 AM,07/17/2019 11:30:00 PM,07/16/2019 09:19:03 AM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between COVERT STREET and ELDERT STREET,  ELDERT STREET between WYCKOFF AVENUE and DEAD END",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
498143,Shooting Permit,07/17/2019 01:00:00 PM,07/17/2019 09:00:00 PM,07/16/2019 08:43:43 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST  154 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  AMSTERDAM AVENUE between WEST  153 STREET and WEST  155 STREET,  WEST  155 STREET between AMSTERDAM AVENUE and BROADWAY,  WEST  153 STREET between AMSTERDAM AVENUE and BROADWAY,  WEST  152 STREET between AMSTERDAM AVENUE and BROADWAY,  AMSTERDAM AVENUE between WEST  151 STREET and WEST  152 STREET",Manhattan,"12, 9","30, 33",Film,Feature,United States of America,"10031, 10032"
498141,Shooting Permit,07/18/2019 09:00:00 AM,07/18/2019 11:30:00 PM,07/16/2019 08:40:59 AM,"Mayor's Office of Film, Theatre & Broadcasting","QUEENS PLAZA SOUTH between 21 STREET and 22 STREET,  22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE",Queens,2,108,Television,Episodic series,United States of America,11101
498138,DCAS Prep/Shoot/Wrap Permit,07/17/2019 05:00:00 PM,07/18/2019 07:00:00 AM,07/16/2019 08:31:22 AM,"Mayor's Office of Film, Theatre & Broadcasting","89 AVENUE between SUTPHIN BOULEVARD and 148 STREET,  88 AVENUE between SUTPHIN BOULEVARD and 148 STREET,  148 STREET between HILLSIDE AVENUE and 89 AVENUE,  HILLSIDE AVENUE between SUTPHIN BOULEVARD and 148 STREET,  HILLSIDE AVENUE between 148 STREET and 150 STREET,  HILLSIDE AVENUE between SUTPHIN BOULEVARD and 148 STREET",Queens,"12, 8","103, 107",Film,Feature,United States of America,11435
498096,Shooting Permit,07/19/2019 06:00:00 AM,07/19/2019 09:00:00 PM,07/15/2019 08:30:08 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   58 STREET between 10 AVENUE and 11 AVENUE,Manhattan,"4, 7","18, 20",Commercial,Commercial,United States of America,"10019, 10023"
498076,Shooting Permit,07/19/2019 07:30:00 AM,07/20/2019 12:01:00 AM,07/15/2019 06:10:19 PM,"Mayor's Office of Film, Theatre & Broadcasting","CHAMBERS STREET between RIVER TERRACE and WEST STREET,  NORTH END AVENUE between CHAMBERS STREET and WARREN STREET,  WARREN STREET between NORTH END AVENUE and WEST STREET,  NORTH END AVENUE between CHAMBERS STREET and MURRAY STREET,  MURRAY STREET between RIVER TERRACE and NORTH END AVENUE,  River Terrace between MURRAY STREET and VESEY PLACE",Manhattan,1,1,Television,Episodic series,United States of America,10282
498072,Shooting Permit,07/17/2019 09:00:00 AM,07/17/2019 11:00:00 PM,07/15/2019 05:55:19 PM,"Mayor's Office of Film, Theatre & Broadcasting","SACKETT STREET between 4 AVENUE and 3 AVENUE,  DEGRAW STREET between 4 AVENUE and 3 AVENUE",Brooklyn,6,78,Commercial,Industrial/Corporate,United States of America,"11215, 11217"
498025,Shooting Permit,07/17/2019 07:00:00 PM,07/18/2019 09:00:00 AM,07/15/2019 04:01:18 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   35 STREET between BROADWAY and 7 AVENUE,Manhattan,5,14,Commercial,Commercial,United States of America,10001
498024,Theater Load in and Load Outs,07/18/2019 07:00:00 AM,07/18/2019 04:00:00 PM,07/15/2019 03:58:07 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   65 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Manhattan,7,20,Theater,Theater,United States of America,10023
498022,Theater Load in and Load Outs,07/17/2019 07:00:00 AM,07/17/2019 04:00:00 PM,07/15/2019 03:56:04 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   65 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Manhattan,7,20,Theater,Theater,United States of America,10023
497999,Shooting Permit,07/18/2019 11:00:00 AM,07/19/2019 01:00:00 AM,07/15/2019 02:42:48 PM,"Mayor's Office of Film, Theatre & Broadcasting","CHAMBERS STREET between RIVER TERRACE and WEST STREET,  NORTH END AVENUE between CHAMBERS STREET and WARREN STREET,  WARREN STREET between NORTH END AVENUE and WEST STREET,  NORTH END AVENUE between CHAMBERS STREET and MURRAY STREET,  MURRAY STREET between RIVER TERRACE and NORTH END AVENUE,  River Terrace between MURRAY STREET and VESEY PLACE",Manhattan,1,1,Television,Episodic series,United States of America,10282
497996,Shooting Permit,07/18/2019 06:30:00 AM,07/18/2019 12:00:00 PM,07/15/2019 02:30:28 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   67 STREET between COLUMBUS AVENUE and CENTRAL PARK WEST,Manhattan,7,20,Television,Talk Show,United States of America,10023
497994,Shooting Permit,07/18/2019 07:00:00 AM,07/18/2019 09:00:00 PM,07/15/2019 02:26:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","SNUG HARBOR ROAD between KISSEL AVENUE and COTTAGE ROW,  KISSEL AVENUE between SNUG HARBOR ROAD and WALES PLACE",Staten Island,1,120,Television,Episodic series,United States of America,10310
497988,Shooting Permit,07/18/2019 06:00:00 PM,07/19/2019 06:00:00 AM,07/15/2019 02:06:32 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK PLACE between ROGERS AVENUE and BEDFORD AVENUE,  BEDFORD AVENUE between STERLING PLACE and PARK PLACE,  STERLING PLACE between BEDFORD AVENUE and FRANKLIN AVENUE,  BERGEN STREET between CLASSON AVENUE and GRAND AVENUE,  WASHINGTON AVENUE between PRESIDENT STREET and EASTERN PARKWAY",Brooklyn,"55, 8, 9","71, 77, 78",Television,Cable-episodic,United States of America,"11216, 11225, 11238"
497987,Theater Load in and Load Outs,07/16/2019 07:00:00 AM,07/16/2019 04:00:00 PM,07/15/2019 02:04:42 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   65 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE,Manhattan,7,20,Theater,Theater,United States of America,10023
497981,Shooting Permit,07/17/2019 02:00:00 PM,07/18/2019 05:00:00 AM,07/15/2019 01:52:36 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   43 STREET between 5 AVENUE and 6 AVENUE,  EAST   43 STREET between MADISON AVENUE and 5 AVENUE,  EAST   44 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   45 STREET and EAST   44 STREET,  VANDERBILT AVENUE between EAST   45 STREET and EAST   46 STREET",Manhattan,5,"14, 18",Television,Episodic series,United States of America,"10017, 10036"
497978,Shooting Permit,07/18/2019 10:00:00 AM,07/19/2019 03:00:00 AM,07/15/2019 01:40:33 PM,"Mayor's Office of Film, Theatre & Broadcasting","37 STREET between 7 AVENUE and 9 AVENUE,  37 STREET between 9 AVENUE and FORT HAMILTON PARKWAY,  9 AVENUE between 37 STREET and 39 STREET,  9 AVENUE between 37 STREET and NEW UTRECHT AVENUE,  39 STREET between 8 AVENUE and 9 AVENUE,  40 STREET between 7 AVENUE and 8 AVENUE,  NEW UTRECHT AVENUE between 9 AVENUE and 39 STREET",Brooklyn,"12, 7","66, 72",Film,Feature,United States of America,"11219, 11232"
497977,Shooting Permit,07/17/2019 04:30:00 AM,07/17/2019 10:00:00 AM,07/15/2019 01:37:28 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
497954,Shooting Permit,07/17/2019 11:00:00 AM,07/18/2019 01:00:00 AM,07/15/2019 12:52:16 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   70 STREET between PARK AVENUE and LEXINGTON AVENUE,  LEXINGTON AVENUE between EAST   70 STREET and EAST   71 STREET,  LEXINGTON AVENUE between EAST   71 STREET and EAST   72 STREET,  PARK AVENUE between EAST   72 STREET and EAST   76 STREET,  EAST   72 STREET between PARK AVENUE and LEXINGTON AVENUE,  3 AVENUE between EAST   74 STREET and EAST   78 STREET,  EAST   75 STREET between LEXINGTON AVENUE and 3 AVENUE,  EAST   76 STREET between LEXINGTON AVENUE and 3 AVENUE,  EAST   76 STREET between LEXINGTON AVENUE and 3 AVENUE,  LEXINGTON AVENUE between EAST   76 STREET and EAST   77 STREET,  EAST   68 STREET between MADISON AVENUE and PARK AVENUE",Manhattan,8,19,Television,Episodic series,United States of America,"10021, 10065, 10075"
497936,Shooting Permit,07/17/2019 07:00:00 AM,07/17/2019 11:00:00 PM,07/15/2019 12:18:02 PM,"Mayor's Office of Film, Theatre & Broadcasting","88 STREET between COOPER AVENUE and DORAN AVENUE,  DORAN AVENUE between 88 STREET and 84 STREET,  COOPER AVENUE between METROPOLITAN AVENUE and 88 STREET,  COOPER AVENUE between 84 STREET and 83 STREET",Queens,5,104,Film,Feature,United States of America,11385
497922,Shooting Permit,07/16/2019 01:00:00 PM,07/17/2019 05:00:00 AM,07/15/2019 11:41:40 AM,"Mayor's Office of Film, Theatre & Broadcasting","MARYLAND AVENUE between KAY PLACE and REYNOLDS STREET,  REYNOLDS STREET between HYLAN BOULEVARD and MARYLAND AVENUE,  EDGEWATER STREET between CLIFTON AVENUE and HYLAN BOULEVARD,  CLIFTON AVENUE between BAY STREET and EDGEWATER STREET,  Sylva Lane between EDGEWATER STREET and Sylva Ln,  BAY STREET between CHURCH LANE and CLIFTON AVENUE,  BAY STREET between CLIFTON AVENUE and HYLAN BOULEVARD,  MARYLAND AVENUE between MARYLAND LANE and REYNOLDS STREET,  MARYLAND AVENUE between KAY PLACE and COLTON STREET,  COLTON STREET between HYLAN BOULEVARD and ST JOHNS AVENUE",Staten Island,1,120,Film,Feature,United States of America,10305
497913,Shooting Permit,07/17/2019 07:00:00 AM,07/17/2019 11:59:00 PM,07/15/2019 11:25:13 AM,"Mayor's Office of Film, Theatre & Broadcasting","EDGECOMBE AVENUE between WEST  150 STREET and WEST  155 STREET,  WEST  155 STREET between AMSTERDAM AVENUE and ST NICHOLAS AVENUE,  ST NICHOLAS PLACE between WEST  151 STREET and WEST  152 STREET,  ST NICHOLAS PLACE between WEST  152 STREET and WEST  153 STREET,  ST NICHOLAS PLACE between WEST  152 STREET and WEST  153 STREET,  ST NICHOLAS PLACE between WEST  153 STREET and WEST  155 STREET",Manhattan,"10, 12, 9","30, 33",Film,Feature,United States of America,"10031, 10032"
497900,Shooting Permit,07/18/2019 10:00:00 AM,07/19/2019 01:00:00 AM,07/15/2019 10:35:57 AM,"Mayor's Office of Film, Theatre & Broadcasting","CRESCENT STREET between 23 AVENUE and 24 AVENUE,  CRESCENT STREET between 24 AVENUE and HOYT AVENUE,  27 STREET between 24 AVENUE and 23 AVENUE,  26 STREET between 23 AVENUE and 24 AVENUE,  26 STREET between 24 AVENUE and HOYT AVENUE,  24 AVENUE between CRESCENT STREET and 26 STREET,  24 AVENUE between 26 STREET and 27 STREET,  27TH STREET between 24 AVENUE and HOYT AVENUE,  27TH STREET between 24 AVENUE and HOYT AVENUE,  SOUTH    3 STREET between BERRY STREET and WYTHE AVENUE,  BERRY STREET between SOUTH    3 STREET and SOUTH    4 STREET,  BERRY STREET between SOUTH    3 STREET and SOUTH    1 STREET,  SOUTH    2 STREET between BERRY STREET and WYTHE AVENUE,  BERRY STREET between SOUTH    3 STREET and GRAND STREET,  GRAND STREET between BERRY STREET and BEDFORD AVENUE,  WYTHE AVENUE between SOUTH    3 STREET and SOUTH    2 STREET",Queens,1,"114, 90",Television,Episodic series,United States of America,"11102, 11105, 11249"
497893,Shooting Permit,07/17/2019 10:00:00 AM,07/17/2019 08:00:00 PM,07/15/2019 10:17:40 AM,"Mayor's Office of Film, Theatre & Broadcasting","SOUTH STREET between BROAD STREET and FDR DRIVE EXIT    1 SOUTHBOUND,  CHURCH STREET between WALKER STREET and WHITE STREET",Manhattan,1,1,Still Photography,Not Applicable,United States of America,"10004, 10013"
497887,Shooting Permit,07/17/2019 09:00:00 AM,07/17/2019 09:00:00 PM,07/15/2019 09:45:34 AM,"Mayor's Office of Film, Theatre & Broadcasting","GRAND STREET between WEST BROADWAY and 6 AVENUE,  THOMPSON STREET between 6 AVENUE and WATTS STREET",Manhattan,2,1,WEB,Not Applicable,United States of America,10013
